age,n,avg_lab_procedures,avg_medications,avg_num_diagnoses,avg_emergency_visits,avg_inpatient_visits,diag3_missing_pct,auc
[10-20),691,43.09696092619392,8.277858176555716,3.9479015918958034,0.15629522431259044,0.532561505065123,31.982633863965265,0.7580645161290323
[20-30),1657,43.06638503319252,11.972842486421243,5.8666264333132165,0.5781532890766445,1.3385636692818346,8.509354254677127,0.7997186129272531
[30-40),3775,43.03364238410596,14.091655629139073,6.452980132450331,0.4903311258278146,0.7626490066225166,4.158940397350993,0.6998771450085206
[40-50),9685,42.78595766649458,15.39101703665462,6.948786783686113,0.35684047496128035,0.7241094475993805,2.0856995353639647,0.7152574776441567
[50-60),17256,42.61196105702364,16.584492350486787,7.238583681038479,0.22247334260547055,0.6150904033379694,1.1879925822902178,0.6997345140195966
[60-70),22483,42.60063158831117,17.150424765378286,7.50642707823689,0.16243383890050261,0.6061468665213717,0.7427834363741493,0.6468500443655723
[70-80),26068,43.157396041123214,16.407818014423814,7.651795304588001,0.131080251649532,0.6103651987110634,0.560073653521559,0.6185614305350816
[80-90),17197,44.0850148281677,15.326684886898878,7.8887015177065765,0.14426934930511134,0.6091178693958249,0.4710123858812584,0.621003186723039
[90-100),2793,44.6953097028285,13.820264948084496,7.8847117794486214,0.1310418904403867,0.5585392051557465,0.2506265664160401,0.5978518358996446
