charlson_bin,n,auc,ci_lo,ci_hi
0,11550,0.6641430632791286,0.6477318916182265,0.6809844222306641
1-2,7842,0.6432612674770668,0.6249988990937991,0.6608146026578829
3-4,556,0.5986478542034098,0.5296891930395613,0.6692511323207008
5+,406,0.65072601010101,0.5844190671275143,0.7158512336285449
